"run_id","run_seed","regime","total_manuscripts_spawned","majority_text","pct_sampled_witnesses_with_pa","pct_majority_disagree_autograph","pct_all_witnesses_with_pa","ideal_majority_text","pct_ideal_majority_disagree_autograph"
29,1036268170,"insertion",277667,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.004666666666666667,0.0,0.004573840513422601,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0
29,1036268170,"omission",277667,"1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111",1.0,0.0,0.9999963985507768,"1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111",0.0
30,727140220,"insertion",276900,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0,0.0,3.611425104460471e-06,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0
30,727140220,"omission",276900,"1111111111111111111111111111112111111111111111111111111111111111111111111111111111111111111111111111",1.0,0.01,0.9999963885748956,"1111111111111111111111111111112111111111111111111111111111111111111111111111111111111111111111111111",0.01
31,2450359124,"insertion",276831,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.007333333333333333,0.0,0.009215041722356682,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0
31,2450359124,"omission",276831,"1111111311111111111113111111111111111121111111111111111111111121111111111111111111111111111111111111",1.0,0.04,0.9999927753494925,"1111111311111111111113111111111111111121111111111111111111111121111111111111111111111111111111111111",0.04
32,2350422504,"insertion",276432,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0,0.0,3.617539277432705e-06,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0
32,2350422504,"omission",276432,"1111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111",1.0,0.01,0.9999963824607225,"1111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111",0.01
33,441394890,"insertion",276266,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0,0.0,3.6197129567625285e-06,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0
33,441394890,"omission",276266,"1111111111111111111111111111111111111111111111111111111111111111111111111111111111111114111111111111",0.994,0.01,0.9921778003004362,"1111111111111111111111111111111111111111111111111111111111111111111111111111111111111114111111111111",0.01
34,2151718040,"insertion",276994,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.007666666666666666,0.0,0.0072709418649568765,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0
34,2151718040,"omission",276994,"1111111111111111111111111111111111111111111111111111111111111111121111111111111111111111111111111111",1.0,0.01,0.9992815702923901,"1111111111111111111111111111111111111111111111111111111111111111121111111111111111111111111111111111",0.01
35,688521108,"insertion",277600,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0,0.0,3.6023184521558073e-06,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0
35,688521108,"omission",277600,"1111111111111111111111111111111111141111111111111111111111111111111111111111111411111111111111111111",0.998,0.02,0.9969380293156676,"1111111111111111111111111111111111141111111111111111111111111111111111111111111411111111111111111111",0.02
36,2651038515,"insertion",276884,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0,0.0,3.6116337947797445e-06,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0
